rule_id,dimension,block_id,block_name_cn,source_table,source_field,signal_name_cn,transformation,activation_condition,within_block_weight,critical_flag,minimum_block_coverage,missing_treatment,redundancy_group,reason_code,evidence_id,evidence_grade,rationale_cn,version
D-M02,Deepen,D3_ACTIVITY_MOMENTUM,业务活动动量,03_financial_change_labels.csv,debtors_signed_log_change,应收账款增长,UP,debtors_change_eligible=True,0.25,false,0.60,exclude_and_reweight,RECEIVABLES_MOMENTUM,RECEIVABLES_EXPANSION,EV06,B,应收增长可扩大应收管理和融资相关场景,FIN_BASE_V1.0
D-M03,Deepen,D3_ACTIVITY_MOMENTUM,业务活动动量,03_financial_change_labels.csv,fixed_assets_signed_log_change,固定资产增长,UP,fixed_assets_change_eligible=True,0.25,false,0.60,exclude_and_reweight,FIXED_ASSET_MOMENTUM,FIXED_ASSET_EXPANSION,EV01,B,固定资产扩张可提高资产融资相关性,FIN_BASE_V1.0
D-M04,Deepen,D3_ACTIVITY_MOMENTUM,业务活动动量,03_financial_change_labels.csv,current_assets_signed_log_change,流动资产增长,UP,current_assets_change_eligible=True,0.20,false,0.60,exclude_and_reweight,OPERATING_ASSET_MOMENTUM,CURRENT_ASSET_EXPANSION,EV02,B,反映经营规模和营运资金活动上升,FIN_BASE_V1.0
G-E01,Grow,G1_EXPANSION,扩张动量,03_financial_change_labels.csv,current_assets_signed_log_change,流动资产增长,UP,current_assets_change_eligible=True,0.20,true,0.60,exclude_and_reweight,OPERATING_ASSET_MOMENTUM,CURRENT_ASSET_EXPANSION,EV02,B,作为可观察的经营扩张代理,FIN_BASE_V1.0
G-E02,Grow,G1_EXPANSION,扩张动量,03_financial_change_labels.csv,fixed_assets_signed_log_change,固定资产增长,UP,fixed_assets_change_eligible=True,0.25,true,0.60,exclude_and_reweight,FIXED_ASSET_MOMENTUM,FIXED_ASSET_EXPANSION,EV01,B,资本开支和资产扩张与融资场景相关,FIN_BASE_V1.0
G-E03,Grow,G1_EXPANSION,扩张动量,03_financial_change_labels.csv,employees_signed_log_change,员工增长,UP,employees_change_eligible=True,0.20,true,0.60,exclude_and_reweight,EMPLOYMENT_MOMENTUM,EMPLOYEE_EXPANSION,EV02,B,就业增长是可观察的运营扩张代理,FIN_BASE_V1.0
G-E04,Grow,G1_EXPANSION,扩张动量,03_financial_change_labels.csv,total_assets_less_current_liabilities_signed_log_change,总体资产增长,UP,total_assets_less_current_liabilities_change_eligible=True,0.20,true,0.60,exclude_and_reweight,OPERATING_ASSET_MOMENTUM,TOTAL_ASSET_EXPANSION,EV02,B,反映公司总体资产基础扩张,FIN_BASE_V1.0
G-E05,Grow,G1_EXPANSION,扩张动量,03_financial_change_labels.csv,debtors_signed_log_change,应收账款增长,UP,debtors_change_eligible=True,0.15,false,0.60,exclude_and_reweight,RECEIVABLES_MOMENTUM,RECEIVABLES_EXPANSION,EV06,B,可能来自销售扩张但也可能是回款压力因此低权重,FIN_BASE_V1.0
G-F01,Grow,G2_FUNDING_GAP,扩张中的资金缺口,derived,G1_EXPANSION_AND_cash_signed_log_change,扩张伴随现金缺口,AND,G1_EXPANSION>0 AND cash_change_eligible=True AND cash_signed_log_change<0,0.40,false,0.60,exclude_and_reweight,FUNDING_GAP_INTERACTION,EXPANSION_WITH_CASH_GAP,EV06,C,要求扩张和现金下降同时存在以减少误判,FIN_BASE_V1.0
G-F02,Grow,G2_FUNDING_GAP,扩张中的资金缺口,derived,debtors_change_AND_liquidity_pressure,应收增长伴随流动性需要,AND,debtors_change_eligible=True AND debtors_signed_log_change>0 AND liquidity_pressure_available=True,0.30,false,0.60,exclude_and_reweight,FUNDING_GAP_INTERACTION,RECEIVABLES_GROWTH_WITH_LIQUIDITY_NEED,EV06,C,结合应收增长与现金下降或营运资金赤字,FIN_BASE_V1.0
G-F03,Grow,G2_FUNDING_GAP,扩张中的资金缺口,derived,creditors_change_AND_real_expansion,债权人支持的扩张,AND,creditors_total_change_eligible=True AND creditors_total_signed_log_change>0 AND real_expansion>0,0.30,false,0.60,exclude_and_reweight,FUNDING_GAP_INTERACTION,CREDITOR_GROWTH_ALONGSIDE_EXPANSION,EV04,C,避免将债权人负债单独解释为增长,FIN_BASE_V1.0
G-C01,Grow,G3_CAPACITY,财务承载能力,01_financial_status_labels_100k.csv,positive_equity_flag,正权益,BINARY,negative_equity_eligible=True,0.40,true,0.60,exclude_and_reweight,CAPITAL_CAPACITY,POSITIVE_EQUITY_CAPACITY,EV03,A,正权益提供资本缓冲但不等于融资需求,FIN_BASE_V1.0
G-C02,Grow,G3_CAPACITY,财务承载能力,03_financial_change_labels.csv,equity_signed_log_change,权益增长,UP,equity_change_eligible=True,0.30,false,0.60,exclude_and_reweight,CAPITAL_CAPACITY,EQUITY_IMPROVEMENT,EV03,A,权益改善提高扩张承载能力,FIN_BASE_V1.0
G-C03,Grow,G3_CAPACITY,财务承载能力,03_financial_change_labels.csv,net_assets_liabilities_signed_log_change,净资产增长,UP,net_assets_liabilities_change_eligible=True,0.30,false,0.60,exclude_and_reweight,CAPITAL_CAPACITY,NET_ASSET_IMPROVEMENT,EV03,A,净资产改善提高财务缓冲,FIN_BASE_V1.0
F-S01,Defend,F1_CURRENT_STRESS,当前财务压力,01_financial_status_labels_100k.csv,negative_equity_flag,负权益,BINARY,negative_equity_eligible=True,0.30,true,0.60,exclude_and_reweight,CAPITAL_STRESS,NEGATIVE_EQUITY,EV03,A,负权益代表资本缓冲不足,FIN_BASE_V1.0
F-S02,Defend,F1_CURRENT_STRESS,当前财务压力,01_financial_status_labels_100k.csv,working_capital_deficit_flag,营运资金赤字,BINARY,working_capital_deficit_eligible=True,0.30,true,0.60,exclude_and_reweight,LIQUIDITY_STRESS,WORKING_CAPITAL_DEFICIT,EV03,A,流动资产不足以覆盖债权人负债的代理,FIN_BASE_V1.0
F-S03,Defend,F1_CURRENT_STRESS,当前财务压力,01_financial_status_labels_100k.csv,creditors_exceed_current_assets_flag,债权人负债超过流动资产,BINARY,creditors_cover_eligible=True,0.20,false,0.60,exclude_and_reweight,LIQUIDITY_STRESS,CREDITORS_EXCEED_CURRENT_ASSETS,EV03,A,反映短期资产覆盖压力,FIN_BASE_V1.0
F-S04,Defend,F1_CURRENT_STRESS,当前财务压力,01_financial_status_labels_100k.csv,cash_to_creditors_ratio,低现金覆盖,LOW,cash_coverage_eligible=True,0.20,false,0.60,exclude_and_reweight,LIQUIDITY_STRESS,LOW_CASH_COVERAGE,EV03,A,低现金覆盖代表短期流动性压力,FIN_BASE_V1.0
F-D01,Defend,F2_DETERIORATION,财务恶化动量,03_financial_change_labels.csv,equity_signed_log_change,权益下降,DOWN,equity_change_eligible=True,0.25,true,0.60,exclude_and_reweight,CAPITAL_DETERIORATION,EQUITY_DETERIORATION,EV03,A,权益下降表示资本缓冲恶化,FIN_BASE_V1.0
F-D02,Defend,F2_DETERIORATION,财务恶化动量,03_financial_change_labels.csv,net_assets_liabilities_signed_log_change,净资产下降,DOWN,net_assets_liabilities_change_eligible=True,0.20,true,0.60,exclude_and_reweight,CAPITAL_DETERIORATION,NET_ASSET_DETERIORATION,EV03,A,净资产下降表示资产负债结构恶化,FIN_BASE_V1.0
F-D03,Defend,F2_DETERIORATION,财务恶化动量,03_financial_change_labels.csv,cash_signed_log_change,现金下降,DOWN,cash_change_eligible=True,0.15,false,0.60,exclude_and_reweight,LIQUIDITY_DETERIORATION,CASH_DETERIORATION,EV03,A,现金下降可能削弱短期支付能力,FIN_BASE_V1.0
F-D04,Defend,F2_DETERIORATION,财务恶化动量,03_financial_change_labels.csv,current_assets_signed_log_change,流动资产下降,DOWN,current_assets_change_eligible=True,0.15,false,0.60,exclude_and_reweight,LIQUIDITY_DETERIORATION,CURRENT_ASSET_DETERIORATION,EV03,A,流动资产下降可能削弱营运资金缓冲,FIN_BASE_V1.0
F-D05,Defend,F2_DETERIORATION,财务恶化动量,03_financial_change_labels.csv,employees_signed_log_change,员工下降,DOWN,employees_change_eligible=True,0.10,false,0.60,exclude_and_reweight,OPERATING_CONTRACTION,EMPLOYEE_CONTRACTION,EV02,B,员工下降是收缩代理但需要行业条件解释,FIN_BASE_V1.0
F-D06,Defend,F2_DETERIORATION,财务恶化动量,derived,creditors_change_AND_balance_sheet_weakening,债权人增长伴随资产负债表恶化,AND,creditors_total_change_eligible=True AND creditors_total_signed_log_change>0 AND balance_sheet_weakening>0,0.15,false,0.60,exclude_and_reweight,CREDITOR_STRESS_INTERACTION,CREDITOR_GROWTH_WITH_BALANCE_SHEET_WEAKENING,EV04,C,避免将债权人负债增长无条件解释为压力,FIN_BASE_V1.0
F-T01,Defend,F3_TRAJECTORY,风险轨迹,04_financial_transition_labels.csv,negative_equity_transition,负权益轨迹,TRAJECTORY_MAP,negative_equity_transition_eligible=True,0.333333,false,0.60,exclude_and_reweight,CAPITAL_TRAJECTORY,NEGATIVE_EQUITY_TRAJECTORY,EV03,A,onset100 persistent80 recovery20 stable0,FIN_BASE_V1.0
F-T02,Defend,F3_TRAJECTORY,风险轨迹,04_financial_transition_labels.csv,working_capital_transition,营运资金赤字轨迹,TRAJECTORY_MAP,working_capital_transition_eligible=True,0.333333,false,0.60,exclude_and_reweight,LIQUIDITY_TRAJECTORY,WORKING_CAPITAL_TRAJECTORY,EV03,A,onset100 persistent80 recovery20 stable0,FIN_BASE_V1.0
F-T03,Defend,F3_TRAJECTORY,风险轨迹,04_financial_transition_labels.csv,creditor_pressure_transition,债权人压力轨迹,TRAJECTORY_MAP,creditor_pressure_transition_eligible=True,0.333334,false,0.60,exclude_and_reweight,CREDITOR_TRAJECTORY,CREDITOR_PRESSURE_TRAJECTORY,EV04,A,onset100 persistent75 recovery20 stable0,FIN_BASE_V1.0

