scenario_id,scenario_name_cn,dimension,block_id,block_name_cn,block_weight,rationale_cn,status,version
DYNAMIC_FOCUS,变化动量主导,Grow,G3_CAPACITY,财务承载能力,0.10,检验扩张变化主导的增长排序,active,FIN_BASE_V1.0
DYNAMIC_FOCUS,变化动量主导,Defend,F1_CURRENT_STRESS,当前财务压力,0.30,检验恶化和轨迹对风险排序的贡献,active,FIN_BASE_V1.0
DYNAMIC_FOCUS,变化动量主导,Defend,F2_DETERIORATION,财务恶化动量,0.50,检验恶化和轨迹对风险排序的贡献,active,FIN_BASE_V1.0
DYNAMIC_FOCUS,变化动量主导,Defend,F3_TRAJECTORY,风险轨迹,0.20,检验恶化和轨迹对风险排序的贡献,active,FIN_BASE_V1.0
CONSERVATIVE,保守交互,Deepen,D1_SCALE_COMPLEXITY,规模与复杂度,0.55,降低变化和条件交互对排名的影响,active,FIN_BASE_V1.0
CONSERVATIVE,保守交互,Deepen,D2_PRODUCT_STRUCTURE,产品相关结构,0.35,降低变化和条件交互对排名的影响,active,FIN_BASE_V1.0
CONSERVATIVE,保守交互,Deepen,D3_ACTIVITY_MOMENTUM,业务活动动量,0.10,降低变化和条件交互对排名的影响,active,FIN_BASE_V1.0
CONSERVATIVE,保守交互,Grow,G1_EXPANSION,扩张动量,0.65,显著降低C级资金缺口交互权重,active,FIN_BASE_V1.0
CONSERVATIVE,保守交互,Grow,G2_FUNDING_GAP,扩张中的资金缺口,0.10,显著降低C级资金缺口交互权重,active,FIN_BASE_V1.0
CONSERVATIVE,保守交互,Grow,G3_CAPACITY,财务承载能力,0.25,显著降低C级资金缺口交互权重,active,FIN_BASE_V1.0
CONSERVATIVE,保守交互,Defend,F1_CURRENT_STRESS,当前财务压力,0.60,降低轨迹重复计分风险,active,FIN_BASE_V1.0
CONSERVATIVE,保守交互,Defend,F2_DETERIORATION,财务恶化动量,0.35,降低轨迹重复计分风险,active,FIN_BASE_V1.0
CONSERVATIVE,保守交互,Defend,F3_TRAJECTORY,风险轨迹,0.05,降低轨迹重复计分风险,active,FIN_BASE_V1.0
OPPORTUNITY_FOCUS,机会动量主导,Deepen,D1_SCALE_COMPLEXITY,规模与复杂度,0.40,提高近期活动对服务拓展机会的贡献,active,FIN_BASE_V1.0
OPPORTUNITY_FOCUS,机会动量主导,Deepen,D2_PRODUCT_STRUCTURE,产品相关结构,0.25,提高近期活动对服务拓展机会的贡献,active,FIN_BASE_V1.0
OPPORTUNITY_FOCUS,机会动量主导,Deepen,D3_ACTIVITY_MOMENTUM,业务活动动量,0.35,提高近期活动对服务拓展机会的贡献,active,FIN_BASE_V1.0
OPPORTUNITY_FOCUS,机会动量主导,Grow,G1_EXPANSION,扩张动量,0.70,强调可观察扩张并保留资金缺口解释,active,FIN_BASE_V1.0
OPPORTUNITY_FOCUS,机会动量主导,Grow,G2_FUNDING_GAP,扩张中的资金缺口,0.20,强调可观察扩张并保留资金缺口解释,active,FIN_BASE_V1.0
OPPORTUNITY_FOCUS,机会动量主导,Grow,G3_CAPACITY,财务承载能力,0.10,强调可观察扩张并保留资金缺口解释,active,FIN_BASE_V1.0
OPPORTUNITY_FOCUS,机会动量主导,Defend,F1_CURRENT_STRESS,当前财务压力,0.50,Defend维持理论基准避免场景含义混乱,active,FIN_BASE_V1.0
OPPORTUNITY_FOCUS,机会动量主导,Defend,F2_DETERIORATION,财务恶化动量,0.35,Defend维持理论基准避免场景含义混乱,active,FIN_BASE_V1.0
OPPORTUNITY_FOCUS,机会动量主导,Defend,F3_TRAJECTORY,风险轨迹,0.15,Defend维持理论基准避免场景含义混乱,active,FIN_BASE_V1.0

